KMeans_clustering,payments,tenure,purchases_installments_frequency
0,0,0,0.166667
0,0,0.16666666666666649,0.142857
0,0,0.5,0.111111
0,0,0.83333333333333326,0.090909
0,0,1,0.083333
0,0,1,0.25
0,0,1,0.333333
0,0,1,0.416667
0,0,1,0.5
0,0,1,0.583333
0,0,1,0.833333
0,0,1,0.916667
0,0,1,1
0,0.000357354040128372,1,0.166667
0,0.0003589919456961244,1,0.25
0,0.00036466859355668488,1,0.416667
0,0.00055829810415860041,1,0.083333
0,0.00076448479877422879,0,0.666667
0,0.00081978771608228439,0,0.166667
0,0.0008286097175372513,0.16666666666666649,0.857143
0,0.00095805940167598429,1,0.916667
0,0.001099470644503642,1,0.416667
0,0.001196983289488716,1,1
0,0.0013132563282352711,0.66666666666666652,0.9
0,0.0013899601969369531,0,0.666667
0,0.001456879612047687,1,0.083333
0,0.001509686703295185,0,0.166667
0,0.0016446174968491689,0.5,0.111111
0,0.001702087129180521,1,0.083333
0,0.0017355413558236281,0.16666666666666649,0.285714
0,0.0017568862954484381,1,0.166667
0,0.001772852114000161,0.16666666666666649,0.857143
0,0.001793402755088509,1,0.75
0,0.001886435326050764,0.16666666666666649,0.714286
0,0.0019041795429068061,1,0.166667
0,0.001953519543124024,1,0.416667
0,0.0019691182982784121,1,0.583333
0,0.00201119938224141,1,0.75
0,0.0020925768721445372,0,0.833333
0,0.0021135724331860311,1,0.083333
0,0.002192607897735583,1,0.083333
0,0.0022469894697496082,0.16666666666666649,0.857143
0,0.0023220945878898282,1,0.916667
0,0.0023534399842520689,0.5,0.333333
0,0.00248084891577193,1,0.666667
0,0.002544764022059152,0.66666666666666652,0.9
0,0.002655892988063431,1,0.166667
0,0.0026603834324454181,1,0.5
0,0.0028056759300582089,0.5,0.666667
0,0.0029095650249925972,0.33333333333333331,0.5
0,0.0029501150811769151,1,0.5
0,0.0029544347892273459,1,0.333333
0,0.0030358635197454522,1,0.25
0,0.0030547181339374771,1,0.25
0,0.0030997760827316621,1,0.166667
0,0.003168072803776139,1,0.333333
0,0.0032148133729186729,1,0.25
0,0.003224335846789792,1,1
0,0.0032349262705001448,0,0.666667
0,0.003277701655924125,1,1
0,0.0032994049446900871,1,0.083333
0,0.0033292200624630941,1,1
0,0.0034414645518364029,0.16666666666666649,0.571429
0,0.0034455543967356079,0,0.833333
0,0.003455110879864456,1,0.166667
0,0.0034596513227841841,1,0.25
0,0.00350361021066163,1,0.083333
0,0.0035069936290601411,1,0.25
0,0.0035233054548426748,1,0.25
0,0.0035457189949186061,1,1
0,0.003551348443844091,1,0.166667
0,0.0035751504488334032,1,1
0,0.0035988503866185031,1,0.25
0,0.0036201701101038139,0.83333333333333326,0.454545
0,0.0036362288478623069,1,0.25
0,0.003677865938501211,1,1
0,0.0036919038757386989,1,0.916667
0,0.0037728790903405461,1,0.083333
0,0.003801269151210407,0.5,0.111111
0,0.0038518076376700028,0.33333333333333331,0.5
0,0.0038541901784001761,1,0.416667
0,0.0038562672075606258,0.16666666666666649,0.714286
0,0.003885418247752129,1,0.166667
0,0.0039083465401237418,1,0.25
0,0.0039806609867255264,1,0.083333
0,0.003993600395365093,1,0.416667
0,0.0040251197219717894,1,0.666667
0,0.0040252765194365549,1,0.25
0,0.004063413633571618,1,0.416667
0,0.0041413109019136527,1,0.25
0,0.00417230613107211,0.66666666666666652,0.3
0,0.0042095706760891544,1,0.583333
0,0.0042385861327065089,1,1
0,0.0042439334920902037,1,0.583333
0,0.0042559431369122323,0.33333333333333331,0.625
0,0.0042682009803113917,1,0.75
0,0.00427843051157958,1,1
0,0.0042890422280425977,1,0.333333
0,0.0043142694673746623,1,0.416667
0,0.0043240482626137446,1,0.583333
0,0.0043366391404369986,1,0.416667
0,0.00436259224576432,1,0.5
0,0.0043988201491747536,0.5,0.88888899999999993
0,0.0044666729951882058,1,0.5
0,0.0045474998111332829,1,0.166667
0,0.0045596978968163986,0,0.833333
0,0.0045894372084468154,1,0.666667
0,0.0046003013031754511,0.33333333333333331,0.25
0,0.0046088631190221562,1,0.416667
0,0.0046478325234847783,1,0.5
0,0.004710126935845986,1,0.916667
0,0.0047269825548729759,1,0.666667
0,0.0047410781796977776,1,0.666667
0,0.0047857972188453746,1,0.666667
0,0.0048050978964902253,1,0.75
0,0.0048400179911457534,1,0.083333
0,0.0048483340925698044,1,0.333333
0,0.0048909586740445831,1,0.5
0,0.0049041598652488612,0.33333333333333331,0.75
0,0.0049055743940687457,0,0.166667
0,0.0049814103465131779,1,0.916667
0,0.0050202706847649247,1,0.25
0,0.0050289217921642418,1,0.083333
0,0.0050367179363975121,1,0.75
0,0.0050609515139385308,1,0.333333
0,0.0050717077451025074,1,0.416667
0,0.0051607610160398108,1,0.416667
0,0.00520329918442669,1,0.916667
0,0.0052191197785190317,1,0.083333
0,0.0052770741364217061,1,0.166667
0,0.0052779976701375388,0.16666666666666649,0.571429
0,0.0053098956725779788,0.5,0.555556
0,0.0053201673556102381,0.66666666666666652,0.7
0,0.0053361728023405344,0.66666666666666652,0.3
0,0.0054163312230070381,0.66666666666666652,0.4
0,0.0054205049574086424,0.83333333333333326,0.272727
0,0.0054266686967019313,1,0.083333
0,0.0054586383058809647,1,0.416667
0,0.0054873875242279577,1,0.416667
0,0.005494799275129086,1,0.416667
0,0.005501379800340286,1,0.416667
0,0.0055092978455825647,1,0.166667
0,0.0055366418014001859,1,1
0,0.0055368621222437369,1,1
0,0.0055497460711488138,1,0.416667
0,0.0055662420003798549,1,0.166667
0,0.0055707500112827926,1,0.666667
0,0.0055914864907846808,1,0.666667
0,0.0056283380352620659,1,0.5
0,0.0056689939440288471,1,0.833333
0,0.0056740583266727219,1,0.166667
0,0.005695476686863204,0.33333333333333331,0.5
0,0.0057331457744653784,1,0.666667
0,0.0057350114730556241,1,0.25
0,0.0057672476556687186,0.83333333333333326,0.272727
0,0.0058008554858636919,1,0.916667
0,0.0058062762263820346,0.16666666666666649,0.428571
0,0.0058095449793643412,1,0.25
0,0.0058361217060431,0.33333333333333331,0.375
0,0.0058371358916818536,1,0.166667
0,0.0058755120169655846,1,1
0,0.005892533226575571,1,0.75
0,0.005899677970301379,0.66666666666666652,0.8
0,0.00590364735342393,1,0.916667
0,0.00590451627517228,0.5,0.555556
0,0.0059279186270233706,1,0.083333
0,0.0059519703683997291,1,0.5
0,0.0059572663688753748,1,0.083333
0,0.0059630387552608811,1,0.5
0,0.0059831070169238032,1,0.166667
0,0.0059848585035546164,1,1
0,0.006006081542170417,1,0.666667
0,0.0060675604618200584,1,0.083333
0,0.0060989654187432246,1,0.333333
0,0.0061117823349084313,1,1
0,0.0061297914099490156,0.66666666666666652,0.7
0,0.0061374404764648026,1,0.25
0,0.0061889572663318092,0,0.5
0,0.0062007797518010121,0.83333333333333326,0.545455
0,0.0062152411190838641,0.33333333333333331,0.125
0,0.0062276741939512534,1,1
